Comment,Designator,Footprint,LCSC
OLED,J2,PinHeader_1x04_P2.54mm_Vertical,
GPIO,J1,Molex_FFC_1x16_P0.50mm_Horizontal,
10k,R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10k,R9,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10k,R3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10k,R5,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10k,R8,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
0.1μ,C3,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
USB_C_Receptacle_USB2.0,J3,USB_C_Receptacle_XKB_U262-16XN-4BVC11,
10k,R7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
0.1μ,C2,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
10k,R4,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
Conn_01x06_Socket,J4,PinHeader_1x06_P1.27mm_Vertical,
0.1μ,C1,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
10k,R2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
0.1μ,C5,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
10k,R6,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
0.1μ,C4,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
SKRHABE010,SW1,SKRHAAE010,
FR01FR16P-S,SW2,FR01FR16P-S,
